# Annotated with Bakta
# Software: v1.8.2
# Database: v5.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	16642	17679	-	MKHGBK_00105		ALP-N domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1L7NNT2, UniRef:UniRef90_A0A1L7NNT2
contig_1	cds	17903	18430	+	MKHGBK_00110		Clamp-loader subunit	RefSeq:WP_004577623.1, SO:0001217, UniParc:UPI0002D1D189, UniRef:UniRef100_A0A3G1DGC6, UniRef:UniRef50_A0A2V4QF62, UniRef:UniRef90_A0A3M4JVA7
contig_1	cds	19612	20592	-	MKHGBK_00115	tnp	IS5 family ISPa95 transposase	IS:ISPa95, RefSeq:WP_064613796.1, SO:0001217, UniParc:UPI0007DE0ED0, UniRef:UniRef100_A0A173H9T1, UniRef:UniRef90_N2IS10
contig_1	cds	21274	21558	+	MKHGBK_00120		DUF3099 domain-containing protein	RefSeq:WP_023662205.1, SO:0001217, UniParc:UPI0003CCD4E6, UniRef:UniRef100_A0A3G1DG96, UniRef:UniRef50_A0A1L7NNT0, UniRef:UniRef90_A0A3G1DG96
contig_1	cds	21589	23460	+	MKHGBK_00125		DNA helicase	EC:5.6.2.4, KEGG:K10300, RefSeq:WP_039614032.1, SO:0001217, UniParc:UPI00057EFF9F, UniRef:UniRef100_A0A0C1KEV3, UniRef:UniRef50_A0A5E7QGL5, UniRef:UniRef90_A0A3G1DGW0
contig_1	cds	23494	23895	+	MKHGBK_00130		KfrA-N domain-containing protein	RefSeq:WP_172688321.1, SO:0001217, UniParc:UPI000F6E7C7C, UniRef:UniRef100_A0A3G1HQK7, UniRef:UniRef50_V7D7G6, UniRef:UniRef90_V7D7G6
contig_1	cds	24251	24739	+	MKHGBK_00135		DUF2726 domain-containing protein	SO:0001217, UniParc:UPI00090A5210, UniRef:UniRef100_A0A3G1DG38, UniRef:UniRef50_A4JU52, UniRef:UniRef90_A0A3G1DG38
contig_1	cds	24788	25450	+	MKHGBK_00140		Transmembrane protein	RefSeq:WP_144000601.1, SO:0001217, UniParc:UPI000F6E2A71, UniRef:UniRef100_A0A3G1DGD2, UniRef:UniRef50_A0A0C1I629, UniRef:UniRef90_A0A1L7NNW5
contig_1	cds	25443	26048	+	MKHGBK_00145		Transmembrane protein	RefSeq:WP_144000602.1, SO:0001217, UniParc:UPI000F6B5650, UniRef:UniRef100_A0A3G1DGC3, UniRef:UniRef50_A0A6B7PYE0, UniRef:UniRef90_A0A1L7NNT7
contig_1	cds	26073	26435	+	MKHGBK_00150	doxX	DoxX family protein	RefSeq:WP_144000603.1, SO:0001217, UniParc:UPI000F70E645, UniRef:UniRef100_A0A3G1DGD6, UniRef:UniRef50_A0A3M4JW09, UniRef:UniRef90_V7D7U1
contig_1	cds	26504	27796	-	MKHGBK_00155		DUF5623 domain-containing protein	RefSeq:WP_190295228.1, SO:0001217, UniParc:UPI000F70E8B1, UniRef:UniRef100_A0A3G1DGC5, UniRef:UniRef50_A0A3M4JUX8, UniRef:UniRef90_A0A3G1DGC5
contig_1	cds	28207	29097	+	MKHGBK_00160		HTH cro/C1-type domain-containing protein	RefSeq:WP_190295230.1, SO:0001217, UniParc:UPI000F700867, UniRef:UniRef100_A0A3G1DGD1, UniRef:UniRef50_V7D9U8, UniRef:UniRef90_V7D9U8
contig_1	cds	29351	29569	+	MKHGBK_00165		Integral membrane protein	RefSeq:WP_016486995.1, SO:0001217, UniParc:UPI0002FE8658, UniRef:UniRef100_A0A3G1DGD7, UniRef:UniRef50_A0A3M4JVI4, UniRef:UniRef90_A0A3M4JVI4
contig_1	cds	29771	30088	+	MKHGBK_00170		DUF1330 domain-containing protein	RefSeq:WP_144000605.1, SO:0001217, UniParc:UPI000F6C7F23, UniRef:UniRef100_A0A3G1DGA1, UniRef:UniRef50_A0A1L7NNZ5, UniRef:UniRef90_A0A1L7NNZ5
contig_1	cds	30341	31903	+	MKHGBK_00175		DNA (cytosine-5-)-methyltransferase	RefSeq:WP_023662195.1, SO:0001217, UniParc:UPI0003CCCF1B, UniRef:UniRef100_A0A3G1DGW7, UniRef:UniRef50_A0A840UAG0, UniRef:UniRef90_A0A8G1CZ80
contig_1	cds	32077	32418	+	MKHGBK_00180		WXG100 family type VII secretion target	RefSeq:WP_023662194.1, SO:0001217, UniParc:UPI0003CCC6CC, UniRef:UniRef100_A0A3G1HJM9, UniRef:UniRef50_A0A1L7NNV3, UniRef:UniRef90_A0A1L7NNV3
contig_1	cds	32618	32959	+	MKHGBK_00185		Phage protein	RefSeq:WP_004577609.1, SO:0001217, UniParc:UPI0002D1CF16, UniRef:UniRef100_A0A3G1DG40, UniRef:UniRef50_V7D7T7, UniRef:UniRef90_V7D7T7
contig_1	cds	32971	33156	+	MKHGBK_00190		Transposase	RefSeq:WP_004577608.1, SO:0001217, UniParc:UPI0002D17FCC, UniRef:UniRef100_A0A3G1DGE0, UniRef:UniRef50_A0A0C1KEY1, UniRef:UniRef90_A0A0C1KEY1
contig_1	cds	33263	33907	+	MKHGBK_00195		DUF4145 domain-containing protein	RefSeq:WP_144000606.1, SO:0001217, UniParc:UPI000F6D2956, UniRef:UniRef100_A0A3G1DGE2, UniRef:UniRef50_A0A1L7NNV4, UniRef:UniRef90_A0A1L7NNV4
contig_1	cds	34003	34236	+	MKHGBK_00200		DUF1127 domain-containing protein	RefSeq:WP_004577606.1, SO:0001217, UniParc:UPI0002D1B743, UniRef:UniRef100_A0A3G1DGD3, UniRef:UniRef50_A0A0P9V503, UniRef:UniRef90_A0A136QA06
contig_1	cds	34397	35218	+	MKHGBK_00205		Enoyl-CoA hydratase	RefSeq:WP_236693271.1, SO:0001217, UniParc:UPI001F4722BF, UniRef:UniRef100_A0A3G1DGE3, UniRef:UniRef50_V7DA17, UniRef:UniRef90_V7DA17
contig_1	cds	35208	35486	+	MKHGBK_00210		Zf-trcl domain-containing protein	RefSeq:WP_004577605.1, SO:0001217, UniParc:UPI0002D18485, UniRef:UniRef100_A0A3G1DGE5, UniRef:UniRef50_A0A3M4JWI9, UniRef:UniRef90_A0A3G1DGE5
contig_1	cds	35698	36546	+	MKHGBK_00215		Restriction endonuclease	RefSeq:WP_054902301.1, SO:0001217, UniParc:UPI0006D49373, UniRef:UniRef100_A0A3G1DGA3, UniRef:UniRef50_R9VBY2, UniRef:UniRef90_R9VBY2
contig_1	cds	36723	37394	-	MKHGBK_00220		Serine/threonine protein phosphatase	RefSeq:WP_039614045.1, SO:0001217, UniParc:UPI00057C5CC7, UniRef:UniRef100_A0A3G1DGX4, UniRef:UniRef50_A0A3M2Y339, UniRef:UniRef90_A0A2S3WLJ8
contig_1	cds	37391	38092	-	MKHGBK_00225		Nucleotidyltransferase AbiEii toxin of type IV toxin-antitoxin system	RefSeq:WP_144000607.1, SO:0001217, UniParc:UPI001180FF5F, UniRef:UniRef100_UPI001180FF5F, UniRef:UniRef50_A0A024ELL3, UniRef:UniRef90_V7DAJ9
contig_1	cds	38094	38861	-	MKHGBK_00230	marR	MarR family transcriptional regulator	SO:0001217, UniParc:UPI00057F73D5, UniRef:UniRef100_A0A3G1DG48, UniRef:UniRef50_A0A1K1NX16, UniRef:UniRef90_R9VEW2
contig_1	cds	39573	39836	+	MKHGBK_00235		Lipoprotein	SO:0001217, UniRef:UniRef50_A0A5C7LXH5, UniRef:UniRef90_A0A3G1DGE4
contig_1	cds	39973	40359	+	MKHGBK_00240		(pseudo) Zinc-binding protein	SO:0001217, UniRef:UniRef50_A0A1L7NNW9, UniRef:UniRef50_UPI001681022B, UniRef:UniRef90_A0A1L7NNW9, UniRef:UniRef90_UPI001681022B
contig_1	cds	40356	40703	+	MKHGBK_00245		Glycos-transf-1 domain-containing protein	RefSeq:WP_190295237.1, SO:0001217, UniParc:UPI0016804510, UniRef:UniRef100_UPI0016804510, UniRef:UniRef50_V4S6Q9, UniRef:UniRef90_UPI0016804510
contig_1	cds	40715	40957	+	MKHGBK_00250		Transcriptional regulator	RefSeq:WP_023662185.1, SO:0001217, UniParc:UPI0003CCC9A1, UniRef:UniRef100_A0A3G1DGE1, UniRef:UniRef50_A0A1L7NNW4, UniRef:UniRef90_A0A1L7NNW4
contig_1	cds	40970	41485	+	MKHGBK_00255		Polysaccharide deacetylase	RefSeq:WP_039614374.1, SO:0001217, UniParc:UPI00057E9131, UniRef:UniRef100_A0A3G1DGF4, UniRef:UniRef50_A0A0C4WLL6, UniRef:UniRef90_V7D9L2
contig_1	cds	41504	41956	+	MKHGBK_00260		Sjogrens syndrome scleroderma autoantigen 1	RefSeq:WP_023662183.1, SO:0001217, UniParc:UPI0003CCD13E, UniRef:UniRef100_A0A3G1DGF3, UniRef:UniRef50_B7XGV0, UniRef:UniRef90_A0A1L7NNZ6
contig_1	cds	41957	42220	+	MKHGBK_00265	dnaT	DnaT domain-containing protein	SO:0001217, UniParc:UPI0006D3C415, UniRef:UniRef100_A0A3G1DGA7, UniRef:UniRef50_V4GLV3, UniRef:UniRef90_A0A1L7NP15
contig_1	cds	42230	42712	+	MKHGBK_00270		Lipoprotein	RefSeq:WP_223817442.1, SO:0001217, UniParc:UPI001CC1FA3A, UniRef:UniRef100_A0A3G1DGY4, UniRef:UniRef50_A0A2S3WKH4, UniRef:UniRef90_A0A2S3WKH4
contig_1	cds	42797	43573	-	MKHGBK_00275		Nucleotidyl transferase AbiEii toxin, Type IV TA system	RefSeq:WP_039614372.1, SO:0001217, UniParc:UPI00057CC793, UniRef:UniRef100_A0A3G1HJP0, UniRef:UniRef50_J3F9L7, UniRef:UniRef90_V7D7F4
contig_1	cds	43561	44580	-	MKHGBK_00280		DUF4423 domain-containing protein	RefSeq:WP_023662180.1, SO:0001217, UniParc:UPI0003CCCA18, UniRef:UniRef100_A0A0C1KPS1, UniRef:UniRef50_A0A0N0E5B2, UniRef:UniRef90_A0A3G2HNT8
contig_1	cds	44882	45124	+	MKHGBK_00285	copG	CopG family transcriptional regulator	RefSeq:WP_039614371.1, SO:0001217, UniParc:UPI00057EFD98, UniRef:UniRef100_A0A0C1KD15, UniRef:UniRef50_A0A136Q9W7, UniRef:UniRef90_A0A1L7NP13
contig_1	cds	45181	46440	-	MKHGBK_00290		RNase NYN domain-containing protein	RefSeq:WP_039614370.1, SO:0001217, UniParc:UPI00057C3FB3, UniRef:UniRef100_A0A0C1KCP0, UniRef:UniRef50_V7D9T8, UniRef:UniRef90_A0A1L7NNX7
contig_1	cds	46740	47432	-	MKHGBK_00295		hypothetical protein	
contig_1	cds	47549	48577	-	MKHGBK_00300	tnp	IS30 family ISPsp7 transposase	COG:COG2826, COG:X, IS:ISPsp7, RefSeq:WP_003283602.1, SO:0001217, UniParc:UPI00025495B0, UniRef:UniRef100_A0A345X0E4, UniRef:UniRef50_A0A3M3BIN7, UniRef:UniRef90_A0A023WXE8
contig_1	cds	48615	49208	-	MKHGBK_00305		hypothetical protein	
contig_1	cds	49574	50341	+	MKHGBK_00310		Transmembrane protein	SO:0001217, UniRef:UniRef50_A0A3M4JV41, UniRef:UniRef90_A0A1L7NNX0
contig_1	cds	50490	50891	-	MKHGBK_00315	prgI	PrgI family protein	RefSeq:WP_039614367.1, SO:0001217, UniParc:UPI00057ED4AF, UniRef:UniRef100_A0A0C1KPR9, UniRef:UniRef50_A0A2S3WKK8, UniRef:UniRef90_A0A2S3WKK8
contig_1	cds	51034	51336	+	MKHGBK_00320		DUF4230 domain-containing protein	RefSeq:WP_023662172.1, SO:0001217, UniParc:UPI0003CCC88A, UniRef:UniRef100_A0A3G1DGB0, UniRef:UniRef50_A0A136QBQ0, UniRef:UniRef90_A0A1L7NP32
contig_1	cds	51333	51704	+	MKHGBK_00325		DUF2933 domain-containing protein	RefSeq:WP_023662171.1, SO:0001217, UniParc:UPI0003CCC7F5, UniRef:UniRef100_A0A3G1DGZ2, UniRef:UniRef50_A0A1L7NP25, UniRef:UniRef90_A0A1L7NP25
contig_1	cds	51725	52093	+	MKHGBK_00330		DUF417 domain-containing protein	SO:0001217, UniRef:UniRef50_A0A6B7PW93, UniRef:UniRef90_A0A3G1HJN9
contig_1	cds	52148	52393	+	MKHGBK_00335		(pseudo) SH3b domain-containing protein	SO:0001217, UniRef:UniRef50_A0A1L7NP10, UniRef:UniRef90_A0A3G1DG58
contig_1	cds	52353	52484	+	MKHGBK_00340		hypothetical protein	
contig_1	cds	52567	53097	+	MKHGBK_00345		GIY-YIG nuclease family protein	RefSeq:WP_039614366.1, SO:0001217, UniParc:UPI00057E122D, UniRef:UniRef100_A0A0C1HU84, UniRef:UniRef50_A0A1L7NNX8, UniRef:UniRef90_A0A1L7NNX8
contig_1	cds	53325	53579	+	MKHGBK_00350		NERD domain-containing protein	RefSeq:WP_039614365.1, SO:0001217, UniParc:UPI00057F516C, UniRef:UniRef100_A0A0C1I465, UniRef:UniRef50_A0A136Q9R9, UniRef:UniRef90_A0A1L7NNY2
contig_1	cds	53613	53726	-	MKHGBK_00355		Transcriptional regulator	SO:0001217, UniParc:UPI0003CCBF18, UniRef:UniRef100_A0A3G1DGH2, UniRef:UniRef50_R9VG84, UniRef:UniRef90_R9VG84
contig_1	cds	53743	55272	+	MKHGBK_00360	dnaB	replicative DNA helicase	RefSeq:WP_039614364.1, SO:0001217, UniParc:UPI000580A444, UniRef:UniRef100_A0A0C1KPR6, UniRef:UniRef50_A0A0H3YZB3, UniRef:UniRef90_A0A2V4QF95
contig_1	cds	55331	56728	+	MKHGBK_00365	dnaB	replicative DNA helicase	COG:COG0305, COG:L, RefSeq:WP_004575970.1, SO:0001217, UniParc:UPI0002D1F4EC, UniRef:UniRef100_A0A3G1DGG9, UniRef:UniRef50_A0A0H3YZB3, UniRef:UniRef90_C3KE71
contig_1	cds	56844	57098	+	MKHGBK_00370		Oligopeptidase A	RefSeq:WP_023662165.1, SO:0001217, UniParc:UPI0003CCD01F, UniRef:UniRef100_A0A3G1DGH1, UniRef:UniRef50_A0A136Q995, UniRef:UniRef90_A0A1L7NNY5
contig_1	cds	57465	57608	+	MKHGBK_00375	nirC	Nitrite transporter NirC	RefSeq:WP_023662164.1, SO:0001217, UniParc:UPI0003CCBF78, UniRef:UniRef100_A0A3G1DGB9, UniRef:UniRef50_A0A3G1DGB9, UniRef:UniRef90_A0A3G1DGB9
contig_1	cds	57895	58092	+	MKHGBK_00380		SLATT domain-containing protein	RefSeq:WP_152619909.1, SO:0001217, UniParc:UPI001269EB61, UniRef:UniRef100_A0A0C1HU78, UniRef:UniRef50_A0A2V4PTQ4, UniRef:UniRef90_A0A0C1HU78
contig_1	cds	58185	58592	+	MKHGBK_00385		Zeta-toxin domain-containing protein	RefSeq:WP_023662162.1, SO:0001217, UniParc:UPI0003CCBE70, UniRef:UniRef100_V7D7F0, UniRef:UniRef50_A0A2A3LXS3, UniRef:UniRef90_V7D7F0
contig_1	cds	58734	58952	+	MKHGBK_00390		Transcriptional regulator	RefSeq:WP_023662161.1, SO:0001217, UniParc:UPI0003CCCB12, UniRef:UniRef100_A0A3G1DG63, UniRef:UniRef50_A0A4U0FRN7, UniRef:UniRef90_A0A7Y1AD86
contig_1	cds	58965	59084	+	MKHGBK_00395		HNH endonuclease	SO:0001217, UniParc:UPI0003CCC076, UniRef:UniRef100_A0A3G1DGI2, UniRef:UniRef50_A0A0E3BAP2, UniRef:UniRef90_A0A3G1DGI2
contig_1	cds	59095	59313	+	MKHGBK_00400		Inner membrane protein	SO:0001217, UniParc:UPI0003CCD9C2, UniRef:UniRef100_A0A3G1DGH3, UniRef:UniRef50_A0A3G1DGH3, UniRef:UniRef90_A0A3G1DGH3
contig_1	cds	59332	59529	+	MKHGBK_00405		DUF2116 domain-containing protein	RefSeq:WP_063977588.1, SO:0001217, UniParc:UPI0007C7B1A9, UniRef:UniRef100_A0A3G1DGI0, UniRef:UniRef50_A0A3G1DGI0, UniRef:UniRef90_A0A3G1DGI0
contig_1	cds	59516	59740	+	MKHGBK_00410	yheU	YheU family protein	RefSeq:WP_023662158.1, SO:0001217, UniParc:UPI0003CCC6F1, UniRef:UniRef100_A0A0C1KCM4, UniRef:UniRef50_A0A0C1KCM4, UniRef:UniRef90_A0A0C1KCM4
contig_1	cds	59760	60026	+	MKHGBK_00415		Minor tail protein	RefSeq:WP_023662157.1, SO:0001217, UniParc:UPI0003CCC553, UniRef:UniRef100_A0A3G1DGI3, UniRef:UniRef50_A0A6N4J2S9, UniRef:UniRef90_A0A3M4K3U5
contig_1	cds	60039	60290	+	MKHGBK_00420	ardR	Antirestriction protein ArdR	RefSeq:WP_023662156.1, SO:0001217, UniParc:UPI0003CCCC41, UniRef:UniRef100_A0A3G1DGH9, UniRef:UniRef50_Q4ZWI9, UniRef:UniRef90_A0A379PIU9
contig_1	cds	60379	60642	+	MKHGBK_00425		DUF1902 domain-containing protein	RefSeq:WP_172688331.1, SO:0001217, UniParc:UPI000ABE8C58, UniRef:UniRef100_A0A3G1DGC8, UniRef:UniRef50_A0A3G1DGC8, UniRef:UniRef90_A0A3G1DGC8
contig_1	cds	60744	60938	+	MKHGBK_00430		Type III secretion effector protein	RefSeq:WP_039614362.1, SO:0001217, UniParc:UPI0005803053, UniRef:UniRef100_A0A3G1DH06, UniRef:UniRef50_A0A3G1DH06, UniRef:UniRef90_A0A3G1DH06
contig_1	cds	60952	61188	+	MKHGBK_00435		DUF3145 domain-containing protein	RefSeq:WP_039614361.1, SO:0001217, UniParc:UPI00057E69CB, UniRef:UniRef100_A0A3G1HJN7, UniRef:UniRef50_A0A024ELN6, UniRef:UniRef90_A0A3G1HJN7
contig_1	cds	61282	61791	+	MKHGBK_00440		Plasmid protein	RefSeq:WP_023662031.1, SO:0001217, UniParc:UPI0003CCD40F, UniRef:UniRef100_A0A3G1DG66, UniRef:UniRef50_A0A3M3H821, UniRef:UniRef90_A0A0C1KCM1
contig_1	cds	61882	62058	+	MKHGBK_00445		Hydrophobic protein	SO:0001217, UniParc:UPI000F718DA9, UniRef:UniRef100_A0A3G1DGI7, UniRef:UniRef50_A0A3G1DGI7, UniRef:UniRef90_A0A3G1DGI7
contig_1	cds	62163	62480	+	MKHGBK_00450		Transporter	RefSeq:WP_023662032.1, SO:0001217, UniParc:UPI0003CCD77E, UniRef:UniRef100_A0A3G1DGH8, UniRef:UniRef50_A0A0C1HU67, UniRef:UniRef90_A0A3E1UMR4
contig_1	cds	62538	62759	+	MKHGBK_00455	pnuC	Nicotinamide riboside transporter PnuC	RefSeq:WP_023383640.1, SO:0001217, UniParc:UPI0003C06AD6, UniRef:UniRef100_A0A3M4KBE4, UniRef:UniRef50_A0A3M4KBE4, UniRef:UniRef90_A0A3M4KBE4
contig_1	cds	62805	63149	-	MKHGBK_00460		Secreted protein	SO:0001217, UniRef:UniRef50_A0A3G1DGI5, UniRef:UniRef90_A0A3G1DGI5
contig_1	cds	63284	63694	+	MKHGBK_00465		DUF2591 domain-containing protein	RefSeq:WP_023662033.1, SO:0001217, UniParc:UPI0003CCBE26, UniRef:UniRef100_A0A3G1DGJ3, UniRef:UniRef50_A0A3G1DGJ3, UniRef:UniRef90_A0A3G1DGJ3
contig_1	cds	63738	64028	+	MKHGBK_00470	htpX	Protease HtpX	RefSeq:WP_023662034.1, SO:0001217, UniParc:UPI0003CCBDA2, UniRef:UniRef100_A0A3G1DGJ0, UniRef:UniRef50_A0A3G1DGJ0, UniRef:UniRef90_A0A3G1DGJ0
contig_1	cds	64038	64253	+	MKHGBK_00475		hypothetical protein	
contig_1	cds	64282	64920	+	MKHGBK_00480		DUF1834 domain-containing protein	SO:0001217, UniRef:UniRef50_C3KA05, UniRef:UniRef90_A0A0C1KPU3
contig_1	cds	64917	65984	+	MKHGBK_00485		DUF438 domain-containing protein	RefSeq:WP_023662036.1, SO:0001217, UniParc:UPI0003CCD207, UniRef:UniRef100_V7D8E6, UniRef:UniRef50_V7D8E6, UniRef:UniRef90_V7D8E6
contig_1	cds	66146	66565	+	MKHGBK_00490		2-hydroxyacyl-CoA dehydratase	SO:0001217, UniParc:UPI000F6F6282, UniRef:UniRef100_A0A3G1HJN6, UniRef:UniRef50_A0A3E1UMQ2, UniRef:UniRef90_A0A3G1HJN6
contig_1	cds	66568	66795	+	MKHGBK_00495		Phage portal protein	RefSeq:WP_128637219.1, SO:0001217, UniParc:UPI000AB5DB7D, UniRef:UniRef100_A0A3G1DG67, UniRef:UniRef50_A0A3G1DG67, UniRef:UniRef90_A0A3G1DG67
contig_1	cds	66792	66989	+	MKHGBK_00500		Phage protein	RefSeq:WP_039614351.1, SO:0001217, UniParc:UPI00057ED2E6, UniRef:UniRef100_A0A3G1DGK1, UniRef:UniRef50_A0A7W5HFQ7, UniRef:UniRef90_A0A3G1DGK1
contig_1	cds	67052	67384	+	MKHGBK_00505		Phage protein	SO:0001217, UniParc:UPI000ACBD31A, UniRef:UniRef100_A0A0C1I442, UniRef:UniRef50_A0A0C1I442, UniRef:UniRef90_A0A0C1I442
contig_1	cds	67553	67801	+	MKHGBK_00510		hypothetical protein	SO:0001217, UniParc:UPI000F6C55FB, UniRef:UniRef100_A0A3G1DGK0, UniRef:UniRef50_A0A3G1DGK0, UniRef:UniRef90_A0A3G1DGK0
contig_1	cds	67792	68310	+	MKHGBK_00515		N-acetyltransferase domain-containing protein	RefSeq:WP_023662040.1, SO:0001217, UniParc:UPI0003CCC009, UniRef:UniRef100_A0A3G1DGJ4, UniRef:UniRef50_A0A0C1KPP8, UniRef:UniRef90_A0A0C1KPP8
contig_1	cds	68385	68945	-	MKHGBK_00520		N-acetyltransferase domain-containing protein	RefSeq:WP_031324879.1, SO:0001217, UniParc:UPI0004CE6172, UniRef:UniRef100_V7D8B7, UniRef:UniRef50_V7D8B7, UniRef:UniRef90_V7D8B7
contig_1	cds	69224	69967	+	MKHGBK_00525		Terminase-6C domain-containing protein	RefSeq:WP_023662042.1, SO:0001217, UniParc:UPI0003CCC69F, UniRef:UniRef100_A0A3G1DGK4, UniRef:UniRef50_A0A0D1PHN6, UniRef:UniRef90_A0A3G1DGK4
contig_1	cds	69979	70161	+	MKHGBK_00530		DUF4224 domain-containing protein	SO:0001217, UniParc:UPI000ACA5C48, UniRef:UniRef100_A0A3G1DGE8, UniRef:UniRef50_A0A1G8RT07, UniRef:UniRef90_A0A3G1DGE8
contig_1	cds	70289	70663	+	MKHGBK_00535		OrfB-Zn-ribbon domain-containing protein	RefSeq:WP_023662043.1, SO:0001217, UniParc:UPI0003CCC211, UniRef:UniRef100_A0A3G1DH21, UniRef:UniRef50_A0A3G1DH21, UniRef:UniRef90_A0A3G1DH21
contig_1	cds	70795	71796	+	MKHGBK_00540		Endonuclease	SO:0001217, UniParc:UPI0003CCBFC6, UniRef:UniRef100_A0A3G1HJN4, UniRef:UniRef50_A0A0F4XJS7, UniRef:UniRef90_A0A2S3WKV9
